Candidate Name,District,Nominated for which office/position?,What issues do they support? ,Issues - Notes,What do they have to show? Track record,Track Record - Notes,Actively running
Nydia M. Velazquez,7th Congressional District,Representative in Congress,https://velazquez.house.gov/issues,"- Climate change and environment - pro cleaner environment
- Eliminate technological divide between rich/poor
- Pro affordable, universal healthcare
- Pro small business
- Advocate for public housing residents to preservce government-owned housing",https://velazquez.house.gov/about/full-biography,- Pushed for pandemic unemployment assistance to be tax-free,yes?
Paperboy Love Prince,7th Congressional District,Representative in Congress,https://paperboyprince.com/,"- Universal basic income
- Medicare for all",https://paperboyprince.com/videos/?paper_id=0&paper_title=music,,i think so?
Isiah James,9th Congressional District,Representative in Congress,https://www.isiahforcongress.com/issues,,https://www.isiahforcongress.com/isiahs-story,,yes
Chaim M. Deutsch,9th Congressional District,Representative in Congress,https://chaimforcongress.com/news <- closest thing to issues this candidate supports,,https://council.nyc.gov/chaim-deutsch/,,
Adem Bunkeddeko,9th Congressional District,Representative in Congress,https://ademforcongress.com/issues-1/#issues,,https://ademforcongress.com/#about,,
Lutchi Gayot,9th Congressional District,Representative in Congress,https://www.teamgayot.com/classes,,https://www.teamgayot.com/about,,yes?
Yvette D. Clarke,9th Congressional District,Representative in Congress,https://clarke.house.gov/issues/,,https://clarke.house.gov/about/biography/,,
Jonathan Herzog,10th Congressional District,Representative in Congress,https://www.herzog2020.com/policy,"- Universal basic income
- Universal healthcare
- Data privacy
- Criminal justice reform
- Combat climate change
- Affordable housing
- LGBTQ+ equality",https://www.herzog2020.com/about,,
Lindsey Boylan,10th Congressional District,Representative in Congress,https://lindseyboylan.com/priority-issues.html,"- Police violence
- Affordable housing
- Equality for women
- Climate control
- Reform criminal justice system
- Mental health crisis
- Invest in small business",https://lindseyboylan.com/meet-lindsey.html,,
Jerrold L. Nadler,10th Congressional District,Representative in Congress,https://nadler.house.gov/about-jerry/,"- Strengthen gun laws
- Reform criminal justice system
- LGBTQ equality
- Citizenship for DREAMers
- Cheaper healthcare",https://nadler.house.gov/legislative-work/sponsored-legislation.htm,,
Suraj Patel ,12th Congressional District,Representative in Congress,https://www.surajpatel.nyc/policy,"- Climate Change
- Women's Rights
- Mental Health
- Racial Wealth Gap
- Homelessness
- Vaccines
- Gun control
- LGBTQ Rights
- Immigration",https://www.surajpatel.nyc/meetsuraj,,
Carolyn B. Maloney,12th Congressional District,Representative in Congress,https://maloney.house.gov/issues,"- Universal healthcare
- Education, eliminating student debt, free 4-year college
- Women's rights
- Gun control
- Affordable housing
- Equality / social justice
- Immigration and DACA",https://maloney.house.gov/about/accomplishments,,
Peter Harrison,12th Congressional District,Representative in Congress,https://www.peterfornewyork.com/why-im-running,"- Pro environment
- Free public transit (to improve air quality)
- Affordable housing
- Universal childcare
- Pro unions",https://www.peterfornewyork.com/about-me,,
Lauren Ashcraft ,12th Congressional District,Representative in Congress,https://laurenashcraft.com/issue/,"denise
- The Climate Crisis
- Single-Payer Medicare-for-All",https://laurenashcraft.com/story/,,
Julia Salazar,18th Senatorial District,State Senator,https://salazarforsenate.com/issues,,https://www.nysenate.gov/senators/julia-salazar/legislation,,
Andy J. Marte,18th Senatorial District,State Senator,https://www.unitedformarte.com/political-concerns,,https://www.unitedformarte.com/meet-andy,,
Keron Alleyne,19th Senatorial District,State Senator,https://keronfornewyork.com/issues,,https://keronfornewyork.com/about,,
Roxanne J. Persaud,19th Senatorial District,State Senator,https://roxannepersaud.com/about-roxanne/,,https://www.nysenate.gov/senators/roxanne-j-persaud/legislation,,
Rajiv S. Gowda,23rd Senatorial District,State Senator,https://www.gowdaforsenate.com/meet-rajiv,,https://www.gowdaforsenate.com/meet-rajiv,,
Diane J. Savino,23rd Senatorial District,State Senator,https://www.nysenate.gov/senators/diane-j-savino/about,,https://www.nysenate.gov/senators/diane-j-savino/legislation,,
Jabari Brisport,25th Senatorial District,State Senator,https://jabariforstatesenate.com/platform/,,https://jabariforstatesenate.com/meet-jabari/,,
Tremaine S. Wright,25th Senatorial District,State Senator,users can gather information from media: https://nyassembly.gov/mem/Tremaine-Wright/media/ ,,https://brooklyn.tremainewright.com/accomplishments,,
Jason Salmon ,25th Senatorial District,State Senator,https://salmon4ny.com/priorities/,,https://salmon4ny.com/about/,,
Jesse E. Hamilton,43rd Assembly District,Member of the Assembly,http://jessehamilton.com/ifightforyou.html,,http://jessehamilton.com/accomplishments.html,,
Diana Richardson,43rd Assembly District,Member of the Assembly,https://dianarichardson.net/issues/,,https://dianarichardson.net/about/,,
Emily E. Gallagher,50th Assembly District,Member of the Assembly,https://www.emilyforassembly.com/issues/,,https://www.emilyforassembly.com/meet-emily/,,
Joseph R. Lentol ,50th Assembly District,Member of the Assembly,https://www.joelentol.com/,,https://assembly.state.ny.us/mem/Joseph-R-Lentol/sponsor/,,
Katherine P. Walsh,51st Assembly District,Member of the Assembly,https://www.katherineforassembly.com/issues,,https://www.katherineforassembly.com/about,,
Marcela Mitaynes ,51st Assembly District,Member of the Assembly,https://marcelaforny.org/platform,,https://marcelaforny.org/meet-marcela,,
Genesis E. Aquino,51st Assembly District,Member of the Assembly,https://brooklyneagle.com/articles/2019/09/16/genesis-aquino-sunset-park-assembly-run/,,https://genesisfornewyork.com/meet_genesis/,,
